UNIQUE_KEY,PRODUCT_TITLE,PRODUCT_DESCRIPTION,STYLE#,AVAILABLE_SIZES,BRAND_LOGO_IMAGE,THUMBNAIL_IMAGE,COLOR_SWATCH_IMAGE,PRODUCT_IMAGE,SPEC_SHEET,FRONT_FLAT,BACK_FLAT,FRONT_MODEL,BACK_MODEL,SIDE_MODEL,THREE_Q_MODEL,PRICE_TEXT,COLOR_NAME,COLOR_SQUARE_IMAGE,COLOR_PRODUCT_IMAGE,COLOR_PRODUCT_IMAGE_THUMBNAIL,SIZE,PIECE_WEIGHT,PIECE_PRICE,DOZEN_PRICE,CASE_PRICE,PIECE_SALE_PRICE,DOZEN_SALE_PRICE,CASE_SALE_PRICE,SALE_START_DATE,SALE_END_DATE,CASE_SIZE,INVENTORY_KEY,SIZE_INDEX,CATALOG_COLOR,PRICE_CODE,PRODUCT_STATUS,TITLE_IMAGE,BRAND_NAME,KEYWORDS
"78642","Hanes - ComfortSoft 100% Cotton T-Shirt. 5280","5.2-ounce  100% ComfortSoft cotton     99/1 cotton/poly (Ash)     90/10 cotton/poly (Light Steel)     Double-needle coverseamed crewneck     Lay-flat collar     Tag-free label     Shoulder-to-shoulder taping     Double-needle sleeves and hem     Please note: This product is transitioning from tag-free labels to tearaway labels. Your order may contain a combination of both.","5280","Adult Sizes: S-3XL","https://cdnl.sanmar.com/catalog/images/hanesheader.jpg","https://cdnl.sanmar.com/catalog/images/5280TN.jpg","https://cdnl.sanmar.com/catalog/images/5280sw.jpg","https://cdnl.sanmar.com/catalog/images/5280.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/5280_specsheet.pdf","https://cdnl.sanmar.com/imglib/mresjpg/2014/f19/5280_orange_flat_front.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2014/f19/5280_orange_flat_back.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_front_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_back_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_side_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_3q_032017.jpg","Price applies to sizes S-XL","Orange","https://cdnl.sanmar.com/swatch/gifs/HANES_orange_5280.gif","https://cdnl.sanmar.com/catalog/images/imglib/catl/2017/f5/5280_orange_model_front_032017.jpg","https://cdnl.sanmar.com/cache/altview/imglib/catl/2017/f5/5280_orange_model_front_032017.jpg","S","0.375","3.81","3.31","2.81","2.05","2.05","2.05","2019-03-11","2019-03-17","72","7864","2","ORANGE","A","Active","","Hanes","embroidery  embroider  embroidering  screen printing  screenprinting  screen-printing  screen print  screenprint  screen-print  heat transfer  heat transfering  heat-transfering  heat seal  heat sealing  heat-sealing  heat-transfer  heat-seal  heattransfer  heatseal  pad print  pad printing  pad-printing  pad-print  padprint  padprinting  t shirt  t-shirt  tshirt  t shirts  t-shirts crew  crew tee  crew neck  crewneck  crew-neck  tshirts  tee shirt  teeshirt  tee-shirt Short sleeve  short sleeves  short sleeved  shortsleeve  shortsleeves  shortsleeved  short-sleeve  short-sleeves  short-sleeved heavyweight  heavy weight  heavy-weight  comfortsoft  cotton  5.2-ounce  double-needle  s m l xl 2xl xxl 3xl xxxl  tagless  no tags  tag-free  tag free  shirts without tags  t-shirts without tags without tags ",
"78643","Hanes - ComfortSoft 100% Cotton T-Shirt. 5280","5.2-ounce  100% ComfortSoft cotton     99/1 cotton/poly (Ash)     90/10 cotton/poly (Light Steel)     Double-needle coverseamed crewneck     Lay-flat collar     Tag-free label     Shoulder-to-shoulder taping     Double-needle sleeves and hem     Please note: This product is transitioning from tag-free labels to tearaway labels. Your order may contain a combination of both.","5280","Adult Sizes: S-3XL","https://cdnl.sanmar.com/catalog/images/hanesheader.jpg","https://cdnl.sanmar.com/catalog/images/5280TN.jpg","https://cdnl.sanmar.com/catalog/images/5280sw.jpg","https://cdnl.sanmar.com/catalog/images/5280.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/5280_specsheet.pdf","https://cdnl.sanmar.com/imglib/mresjpg/2014/f19/5280_orange_flat_front.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2014/f19/5280_orange_flat_back.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_front_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_back_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_side_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_3q_032017.jpg","Price applies to sizes S-XL","Orange","https://cdnl.sanmar.com/swatch/gifs/HANES_orange_5280.gif","https://cdnl.sanmar.com/catalog/images/imglib/catl/2017/f5/5280_orange_model_front_032017.jpg","https://cdnl.sanmar.com/cache/altview/imglib/catl/2017/f5/5280_orange_model_front_032017.jpg","M","0.4427","3.81","3.31","2.81","2.05","2.05","2.05","2019-03-11","2019-03-17","72","7864","3","ORANGE","A","Active","","Hanes","embroidery  embroider  embroidering  screen printing  screenprinting  screen-printing  screen print  screenprint  screen-print  heat transfer  heat transfering  heat-transfering  heat seal  heat sealing  heat-sealing  heat-transfer  heat-seal  heattransfer  heatseal  pad print  pad printing  pad-printing  pad-print  padprint  padprinting  t shirt  t-shirt  tshirt  t shirts  t-shirts crew  crew tee  crew neck  crewneck  crew-neck  tshirts  tee shirt  teeshirt  tee-shirt Short sleeve  short sleeves  short sleeved  shortsleeve  shortsleeves  shortsleeved  short-sleeve  short-sleeves  short-sleeved heavyweight  heavy weight  heavy-weight  comfortsoft  cotton  5.2-ounce  double-needle  s m l xl 2xl xxl 3xl xxxl  tagless  no tags  tag-free  tag free  shirts without tags  t-shirts without tags without tags ",
"78644","Hanes - ComfortSoft 100% Cotton T-Shirt. 5280","5.2-ounce  100% ComfortSoft cotton     99/1 cotton/poly (Ash)     90/10 cotton/poly (Light Steel)     Double-needle coverseamed crewneck     Lay-flat collar     Tag-free label     Shoulder-to-shoulder taping     Double-needle sleeves and hem     Please note: This product is transitioning from tag-free labels to tearaway labels. Your order may contain a combination of both.","5280","Adult Sizes: S-3XL","https://cdnl.sanmar.com/catalog/images/hanesheader.jpg","https://cdnl.sanmar.com/catalog/images/5280TN.jpg","https://cdnl.sanmar.com/catalog/images/5280sw.jpg","https://cdnl.sanmar.com/catalog/images/5280.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/5280_specsheet.pdf","https://cdnl.sanmar.com/imglib/mresjpg/2014/f19/5280_orange_flat_front.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2014/f19/5280_orange_flat_back.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_front_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_back_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_side_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_3q_032017.jpg","Price applies to sizes S-XL","Orange","https://cdnl.sanmar.com/swatch/gifs/HANES_orange_5280.gif","https://cdnl.sanmar.com/catalog/images/imglib/catl/2017/f5/5280_orange_model_front_032017.jpg","https://cdnl.sanmar.com/cache/altview/imglib/catl/2017/f5/5280_orange_model_front_032017.jpg","L","0.4792","3.81","3.31","2.81","2.05","2.05","2.05","2019-03-11","2019-03-17","72","7864","4","ORANGE","A","Active","","Hanes","embroidery  embroider  embroidering  screen printing  screenprinting  screen-printing  screen print  screenprint  screen-print  heat transfer  heat transfering  heat-transfering  heat seal  heat sealing  heat-sealing  heat-transfer  heat-seal  heattransfer  heatseal  pad print  pad printing  pad-printing  pad-print  padprint  padprinting  t shirt  t-shirt  tshirt  t shirts  t-shirts crew  crew tee  crew neck  crewneck  crew-neck  tshirts  tee shirt  teeshirt  tee-shirt Short sleeve  short sleeves  short sleeved  shortsleeve  shortsleeves  shortsleeved  short-sleeve  short-sleeves  short-sleeved heavyweight  heavy weight  heavy-weight  comfortsoft  cotton  5.2-ounce  double-needle  s m l xl 2xl xxl 3xl xxxl  tagless  no tags  tag-free  tag free  shirts without tags  t-shirts without tags without tags ",
"78645","Hanes - ComfortSoft 100% Cotton T-Shirt. 5280","5.2-ounce  100% ComfortSoft cotton     99/1 cotton/poly (Ash)     90/10 cotton/poly (Light Steel)     Double-needle coverseamed crewneck     Lay-flat collar     Tag-free label     Shoulder-to-shoulder taping     Double-needle sleeves and hem     Please note: This product is transitioning from tag-free labels to tearaway labels. Your order may contain a combination of both.","5280","Adult Sizes: S-3XL","https://cdnl.sanmar.com/catalog/images/hanesheader.jpg","https://cdnl.sanmar.com/catalog/images/5280TN.jpg","https://cdnl.sanmar.com/catalog/images/5280sw.jpg","https://cdnl.sanmar.com/catalog/images/5280.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/5280_specsheet.pdf","https://cdnl.sanmar.com/imglib/mresjpg/2014/f19/5280_orange_flat_front.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2014/f19/5280_orange_flat_back.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_front_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_back_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_side_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_3q_032017.jpg","Price applies to sizes S-XL","Orange","https://cdnl.sanmar.com/swatch/gifs/HANES_orange_5280.gif","https://cdnl.sanmar.com/catalog/images/imglib/catl/2017/f5/5280_orange_model_front_032017.jpg","https://cdnl.sanmar.com/cache/altview/imglib/catl/2017/f5/5280_orange_model_front_032017.jpg","XL","0.5313","3.81","3.31","2.81","2.05","2.05","2.05","2019-03-11","2019-03-17","72","7864","5","ORANGE","A","Active","","Hanes","embroidery  embroider  embroidering  screen printing  screenprinting  screen-printing  screen print  screenprint  screen-print  heat transfer  heat transfering  heat-transfering  heat seal  heat sealing  heat-sealing  heat-transfer  heat-seal  heattransfer  heatseal  pad print  pad printing  pad-printing  pad-print  padprint  padprinting  t shirt  t-shirt  tshirt  t shirts  t-shirts crew  crew tee  crew neck  crewneck  crew-neck  tshirts  tee shirt  teeshirt  tee-shirt Short sleeve  short sleeves  short sleeved  shortsleeve  shortsleeves  shortsleeved  short-sleeve  short-sleeves  short-sleeved heavyweight  heavy weight  heavy-weight  comfortsoft  cotton  5.2-ounce  double-needle  s m l xl 2xl xxl 3xl xxxl  tagless  no tags  tag-free  tag free  shirts without tags  t-shirts without tags without tags ",
"138842","JERZEES - NuBlend Pullover Hooded Sweatshirt. 996M","8-ounce  50/50 cotton/poly NuBlend pill-resistant fleece     High stitch density for a smooth printing canvas     Two-ply hood with grommets and dyed-to-match tipped and knotted drawcord     1x1 rib knit in cuffs and waistband     Front pouch pocket     Double-needle coverseamed neck  armholes and waistband     Ash (formerly Birch)     Due to the nature of 50/50 cotton/poly neon fabrics  special care must be taken throughout the printing process.","996M","Adult Sizes: S-4XL","https://cdnl.sanmar.com/catalog/images/jerzeesheader.jpg","https://cdnl.sanmar.com/catalog/images/996MTN.jpg","https://cdnl.sanmar.com/catalog/images/996Msw.jpg","https://cdnl.sanmar.com/catalog/images/996M.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/996M_specsheet.pdf","https://cdnl.sanmar.com/imglib/mresjpg/2013/f14/996M_ash_flat_front.jpg","https://cdnl.sanmar.com/imglib/mresjpg/996M_Birch_Flat_Back_2010.jpg","https://cdnl.sanmar.com/imglib/mresjpg/996M_Ash_Model_Front_071910.jpg","","","","Price applies to sizes S-XL","Ash","https://cdnl.sanmar.com/swatch/gifs/JERZEES_birch.gif","https://cdnl.sanmar.com/catalog/images/imglib/catl/996M_Ash_Model_Front_071910.jpg","https://cdnl.sanmar.com/cache/altview/imglib/catl/996M_Ash_Model_Front_071910.jpg","S","1.2552","12.21","11.21","10.21","8.99","8.99","8.99","2019-03-11","2019-03-17","24","13884","2","ASH","A","Active","","Jerzees","football  foot ball  football game  foot ball game  male  males S M L XL 2XL 3XL XXL  XXXL unisex nublend  newblend  new blend longsleeve  longsleeves  long-sleeve  long-sleeves  longsleeves  long-sleeved  long sleeved longsleeved sweatshirts  sweat shirt  sweat shirts  sweat-shirt  sweat-shirts  sweatshirt men  men's  mens hoodies  hoodie  hood  hooded  hoods  hoody  hoodys pullover pull over  pull-over drawcord  draw cord  draw-cord pocket  sweatshirt with pocket  shirt with pocket with pocket  with pockets  pouch pocket  pouch-pocket  pouchpocket pill resistant  pill-resistant  pre shrunk  pre-shrunk  pre-shrink  pre shrink  pre shrunked  pre-shrunked ",
"138843","JERZEES - NuBlend Pullover Hooded Sweatshirt. 996M","8-ounce  50/50 cotton/poly NuBlend pill-resistant fleece     High stitch density for a smooth printing canvas     Two-ply hood with grommets and dyed-to-match tipped and knotted drawcord     1x1 rib knit in cuffs and waistband     Front pouch pocket     Double-needle coverseamed neck  armholes and waistband     Ash (formerly Birch)     Due to the nature of 50/50 cotton/poly neon fabrics  special care must be taken throughout the printing process.","996M","Adult Sizes: S-4XL","https://cdnl.sanmar.com/catalog/images/jerzeesheader.jpg","https://cdnl.sanmar.com/catalog/images/996MTN.jpg","https://cdnl.sanmar.com/catalog/images/996Msw.jpg","https://cdnl.sanmar.com/catalog/images/996M.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/996M_specsheet.pdf","https://cdnl.sanmar.com/imglib/mresjpg/2013/f14/996M_ash_flat_front.jpg","https://cdnl.sanmar.com/imglib/mresjpg/996M_Birch_Flat_Back_2010.jpg","https://cdnl.sanmar.com/imglib/mresjpg/996M_Ash_Model_Front_071910.jpg","","","","Price applies to sizes S-XL","Ash","https://cdnl.sanmar.com/swatch/gifs/JERZEES_birch.gif","https://cdnl.sanmar.com/catalog/images/imglib/catl/996M_Ash_Model_Front_071910.jpg","https://cdnl.sanmar.com/cache/altview/imglib/catl/996M_Ash_Model_Front_071910.jpg","M","1.3333","12.21","11.21","10.21","8.99","8.99","8.99","2019-03-11","2019-03-17","24","13884","3","ASH","A","Active","","Jerzees","football  foot ball  football game  foot ball game  male  males S M L XL 2XL 3XL XXL  XXXL unisex nublend  newblend  new blend longsleeve  longsleeves  long-sleeve  long-sleeves  longsleeves  long-sleeved  long sleeved longsleeved sweatshirts  sweat shirt  sweat shirts  sweat-shirt  sweat-shirts  sweatshirt men  men's  mens hoodies  hoodie  hood  hooded  hoods  hoody  hoodys pullover pull over  pull-over drawcord  draw cord  draw-cord pocket  sweatshirt with pocket  shirt with pocket with pocket  with pockets  pouch pocket  pouch-pocket  pouchpocket pill resistant  pill-resistant  pre shrunk  pre-shrunk  pre-shrink  pre shrink  pre shrunked  pre-shrunked ",
"138844","JERZEES - NuBlend Pullover Hooded Sweatshirt. 996M","8-ounce  50/50 cotton/poly NuBlend pill-resistant fleece     High stitch density for a smooth printing canvas     Two-ply hood with grommets and dyed-to-match tipped and knotted drawcord     1x1 rib knit in cuffs and waistband     Front pouch pocket     Double-needle coverseamed neck  armholes and waistband     Ash (formerly Birch)     Due to the nature of 50/50 cotton/poly neon fabrics  special care must be taken throughout the printing process.","996M","Adult Sizes: S-4XL","https://cdnl.sanmar.com/catalog/images/jerzeesheader.jpg","https://cdnl.sanmar.com/catalog/images/996MTN.jpg","https://cdnl.sanmar.com/catalog/images/996Msw.jpg","https://cdnl.sanmar.com/catalog/images/996M.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/996M_specsheet.pdf","https://cdnl.sanmar.com/imglib/mresjpg/2013/f14/996M_ash_flat_front.jpg","https://cdnl.sanmar.com/imglib/mresjpg/996M_Birch_Flat_Back_2010.jpg","https://cdnl.sanmar.com/imglib/mresjpg/996M_Ash_Model_Front_071910.jpg","","","","Price applies to sizes S-XL","Ash","https://cdnl.sanmar.com/swatch/gifs/JERZEES_birch.gif","https://cdnl.sanmar.com/catalog/images/imglib/catl/996M_Ash_Model_Front_071910.jpg","https://cdnl.sanmar.com/cache/altview/imglib/catl/996M_Ash_Model_Front_071910.jpg","L","1.4271","12.21","11.21","10.21","8.99","8.99","8.99","2019-03-11","2019-03-17","24","13884","4","ASH","A","Active","","Jerzees","football  foot ball  football game  foot ball game  male  males S M L XL 2XL 3XL XXL  XXXL unisex nublend  newblend  new blend longsleeve  longsleeves  long-sleeve  long-sleeves  longsleeves  long-sleeved  long sleeved longsleeved sweatshirts  sweat shirt  sweat shirts  sweat-shirt  sweat-shirts  sweatshirt men  men's  mens hoodies  hoodie  hood  hooded  hoods  hoody  hoodys pullover pull over  pull-over drawcord  draw cord  draw-cord pocket  sweatshirt with pocket  shirt with pocket with pocket  with pockets  pouch pocket  pouch-pocket  pouchpocket pill resistant  pill-resistant  pre shrunk  pre-shrunk  pre-shrink  pre shrink  pre shrunked  pre-shrunked ",
"138845","JERZEES - NuBlend Pullover Hooded Sweatshirt. 996M","8-ounce  50/50 cotton/poly NuBlend pill-resistant fleece     High stitch density for a smooth printing canvas     Two-ply hood with grommets and dyed-to-match tipped and knotted drawcord     1x1 rib knit in cuffs and waistband     Front pouch pocket     Double-needle coverseamed neck  armholes and waistband     Ash (formerly Birch)     Due to the nature of 50/50 cotton/poly neon fabrics  special care must be taken throughout the printing process.","996M","Adult Sizes: S-4XL","https://cdnl.sanmar.com/catalog/images/jerzeesheader.jpg","https://cdnl.sanmar.com/catalog/images/996MTN.jpg","https://cdnl.sanmar.com/catalog/images/996Msw.jpg","https://cdnl.sanmar.com/catalog/images/996M.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/996M_specsheet.pdf","https://cdnl.sanmar.com/imglib/mresjpg/2013/f14/996M_ash_flat_front.jpg","https://cdnl.sanmar.com/imglib/mresjpg/996M_Birch_Flat_Back_2010.jpg","https://cdnl.sanmar.com/imglib/mresjpg/996M_Ash_Model_Front_071910.jpg","","","","Price applies to sizes S-XL","Ash","https://cdnl.sanmar.com/swatch/gifs/JERZEES_birch.gif","https://cdnl.sanmar.com/catalog/images/imglib/catl/996M_Ash_Model_Front_071910.jpg","https://cdnl.sanmar.com/cache/altview/imglib/catl/996M_Ash_Model_Front_071910.jpg","XL","1.474","12.21","11.21","10.21","8.99","8.99","8.99","2019-03-11","2019-03-17","24","13884","5","ASH","A","Active","","Jerzees","football  foot ball  football game  foot ball game  male  males S M L XL 2XL 3XL XXL  XXXL unisex nublend  newblend  new blend longsleeve  longsleeves  long-sleeve  long-sleeves  longsleeves  long-sleeved  long sleeved longsleeved sweatshirts  sweat shirt  sweat shirts  sweat-shirt  sweat-shirts  sweatshirt men  men's  mens hoodies  hoodie  hood  hooded  hoods  hoody  hoodys pullover pull over  pull-over drawcord  draw cord  draw-cord pocket  sweatshirt with pocket  shirt with pocket with pocket  with pockets  pouch pocket  pouch-pocket  pouchpocket pill resistant  pill-resistant  pre shrunk  pre-shrunk  pre-shrink  pre shrink  pre shrunked  pre-shrunked ",
"138851","JERZEES - NuBlend Pullover Hooded Sweatshirt. 996M","8-ounce  50/50 cotton/poly NuBlend pill-resistant fleece     High stitch density for a smooth printing canvas     Two-ply hood with grommets and dyed-to-match tipped and knotted drawcord     1x1 rib knit in cuffs and waistband     Front pouch pocket     Double-needle coverseamed neck  armholes and waistband     Ash (formerly Birch)     Due to the nature of 50/50 cotton/poly neon fabrics  special care must be taken throughout the printing process.","996M","Adult Sizes: S-4XL","https://cdnl.sanmar.com/catalog/images/jerzeesheader.jpg","https://cdnl.sanmar.com/catalog/images/996MTN.jpg","https://cdnl.sanmar.com/catalog/images/996Msw.jpg","https://cdnl.sanmar.com/catalog/images/996M.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/996M_specsheet.pdf","https://cdnl.sanmar.com/imglib/mresjpg/2013/f14/996M_ash_flat_front.jpg","https://cdnl.sanmar.com/imglib/mresjpg/996M_Birch_Flat_Back_2010.jpg","https://cdnl.sanmar.com/imglib/mresjpg/996M_Ash_Model_Front_071910.jpg","","","","Price applies to sizes S-XL","Ash","https://cdnl.sanmar.com/swatch/gifs/JERZEES_birch.gif","https://cdnl.sanmar.com/catalog/images/imglib/catl/996M_Ash_Model_Front_071910.jpg","https://cdnl.sanmar.com/cache/altview/imglib/catl/996M_Ash_Model_Front_071910.jpg","2XL","1.6042","13.9","12.9","11.9",11.9,11.9,11.9,"","","24","13885","1","ASH","A","Active","","Jerzees","football  foot ball  football game  foot ball game  male  males S M L XL 2XL 3XL XXL  XXXL unisex nublend  newblend  new blend longsleeve  longsleeves  long-sleeve  long-sleeves  longsleeves  long-sleeved  long sleeved longsleeved sweatshirts  sweat shirt  sweat shirts  sweat-shirt  sweat-shirts  sweatshirt men  men's  mens hoodies  hoodie  hood  hooded  hoods  hoody  hoodys pullover pull over  pull-over drawcord  draw cord  draw-cord pocket  sweatshirt with pocket  shirt with pocket with pocket  with pockets  pouch pocket  pouch-pocket  pouchpocket pill resistant  pill-resistant  pre shrunk  pre-shrunk  pre-shrink  pre shrink  pre shrunked  pre-shrunked ",
"153201","Hanes - ComfortSoft 100% Cotton T-Shirt. 5280","5.2-ounce  100% ComfortSoft cotton     99/1 cotton/poly (Ash)     90/10 cotton/poly (Light Steel)     Double-needle coverseamed crewneck     Lay-flat collar     Tag-free label     Shoulder-to-shoulder taping     Double-needle sleeves and hem     Please note: This product is transitioning from tag-free labels to tearaway labels. Your order may contain a combination of both.","5280","Adult Sizes: S-3XL","https://cdnl.sanmar.com/catalog/images/hanesheader.jpg","https://cdnl.sanmar.com/catalog/images/5280TN.jpg","https://cdnl.sanmar.com/catalog/images/5280sw.jpg","https://cdnl.sanmar.com/catalog/images/5280.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/5280_specsheet.pdf","https://cdnl.sanmar.com/imglib/mresjpg/2014/f19/5280_orange_flat_front.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2014/f19/5280_orange_flat_back.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_front_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_back_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_side_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_3q_032017.jpg","Price applies to sizes S-XL","Orange","https://cdnl.sanmar.com/swatch/gifs/HANES_orange_5280.gif","https://cdnl.sanmar.com/catalog/images/imglib/catl/2017/f5/5280_orange_model_front_032017.jpg","https://cdnl.sanmar.com/cache/altview/imglib/catl/2017/f5/5280_orange_model_front_032017.jpg","2XL","0.6823","5.62","5.12","4.62",4.62,4.62,4.62,"","","36","15320","1","ORANGE","A","Active","","Hanes","embroidery  embroider  embroidering  screen printing  screenprinting  screen-printing  screen print  screenprint  screen-print  heat transfer  heat transfering  heat-transfering  heat seal  heat sealing  heat-sealing  heat-transfer  heat-seal  heattransfer  heatseal  pad print  pad printing  pad-printing  pad-print  padprint  padprinting  t shirt  t-shirt  tshirt  t shirts  t-shirts crew  crew tee  crew neck  crewneck  crew-neck  tshirts  tee shirt  teeshirt  tee-shirt Short sleeve  short sleeves  short sleeved  shortsleeve  shortsleeves  shortsleeved  short-sleeve  short-sleeves  short-sleeved heavyweight  heavy weight  heavy-weight  comfortsoft  cotton  5.2-ounce  double-needle  s m l xl 2xl xxl 3xl xxxl  tagless  no tags  tag-free  tag free  shirts without tags  t-shirts without tags without tags ",
